Price,Adj Close,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
Datetime,,,,,,
2024-09-05 13:30:00+00:00,459.6400146484375,459.6400146484375,460.4599914550781,458.9750061035156,458.9750061035156,2610316
2024-09-05 13:35:00+00:00,461.7099914550781,461.7099914550781,462.5495910644531,459.54998779296875,459.6600036621094,979262
2024-09-05 13:40:00+00:00,461.6400146484375,461.6400146484375,462.17999267578125,461.3299865722656,461.7300109863281,463345
2024-09-05 13:45:00+00:00,461.4700012207031,461.4700012207031,462.6539001464844,460.8500061035156,461.6300048828125,610248
2024-09-05 13:50:00+00:00,462.6199951171875,462.6199951171875,462.6199951171875,461.3299865722656,461.55999755859375,430973
2024-09-05 13:55:00+00:00,463.04998779296875,463.04998779296875,463.19000244140625,462.2699890136719,462.65899658203125,680200
2024-09-05 14:00:00+00:00,463.78948974609375,463.78948974609375,464.4200134277344,463.0400085449219,463.0400085449219,912940
2024-09-05 14:05:00+00:00,463.7200012207031,463.7200012207031,464.7099914550781,463.489990234375,463.7799987792969,681077
2024-09-05 14:10:00+00:00,462.67999267578125,462.67999267578125,463.8800048828125,462.4800109863281,463.7598876953125,553479
2024-09-05 14:15:00+00:00,463.1300048828125,463.1300048828125,463.36199951171875,462.364990234375,462.6300048828125,527217
2024-09-05 14:20:00+00:00,464.8800048828125,464.8800048828125,465.0,463.1780090332031,463.19000244140625,449199
2024-09-05 14:25:00+00:00,464.2893981933594,464.2893981933594,465.3599853515625,464.04998779296875,464.868408203125,567839
2024-09-05 14:30:00+00:00,464.2950134277344,464.2950134277344,465.0,463.80999755859375,464.3500061035156,517265
2024-09-05 14:35:00+00:00,464.4599914550781,464.4599914550781,464.5299987792969,464.010009765625,464.2699890136719,288585
2024-09-05 14:40:00+00:00,463.44000244140625,463.44000244140625,464.4599914550781,463.3699951171875,464.4599914550781,259131
2024-09-05 14:45:00+00:00,462.1000061035156,462.1000061035156,463.5115051269531,461.8299865722656,463.44000244140625,584816
2024-09-05 14:50:00+00:00,461.9100036621094,461.9100036621094,462.135009765625,461.5299987792969,462.04998779296875,417284
